Semana,Usuarios AM
28,160
28,162
28,164
28,157
29,171
29,175
29,167
29,163
29,153
30,159
30,166
30,154
30,169
31,172
31,176
31,172
31,176
31,167
32,177
32,167
32,180
32,156
32,153
33,169
33,152
33,166
33,162
33,154
34,155
34,169
34,166
34,166
35,169
35,167
35,159
35,159
35,148
36,161
36,177
36,161
36,157
36,159
37,153
37,167
37,174
37,167
37,166
38,152
38,158
38,168
38,164
38,150
39,169
39,166
39,161
39,168
39,162
40,164
40,158
40,169
40,171
40,85
41,157
41,168
41,159
41,165
41,153
42,151
42,162
42,146
42,155
42,147
43,158
43,165
43,149
43,137
44,163
44,155
44,166
44,170
44,164
45,156
45,175
45,164
45,154
45,156
46,158
46,163
46,152
46,161
47,167
47,158
47,163
47,161
48,175
48,176
48,160
48,165
48,158
49,161
49,156
49,160
49,158
49,151
50,162
50,159
50,155
50,50
51,156
51,163
51,168
51,154
51,155
52,117
52,122
52,115
52,116
52,104
53,86
53,83
53,87
53,76
1,70
1,70
1,78
1,77
1,65
2,80
2,90
2,90
2,92
3,129
3,130
3,139
3,138
3,128
4,137
4,156
4,150
4,162
4,163
5,164
5,171
5,171
5,187
5,160
6,168
6,172
6,169
6,180
6,164
7,169
7,173
7,169
7,163
7,156
8,164
8,164
8,176
8,165
8,162
9,157
9,175
9,170
9,172
9,178
10,166
10,176
10,175
10,177
10,184
11,181
11,174
11,171
11,173
11,168
12,168
12,153
12,175
12,154
13,166
13,165
13,165
13,158
13,174
14,153
14,148
14,64
15,161
15,164
15,168
15,166
15,172
16,166
16,175
16,177
16,178
16,167
17,173
17,175
17,172
17,184
17,171
18,169
18,166
18,169
18,165
19,168
19,166
19,167
19,165
19,163
20,159
20,177
20,175
20,166
20,161
21,164
21,172
21,179
21,167
22,163
22,159
22,266
22,167
22,159
23,165
23,163
23,169
23,167
23,107
24,245
24,171
24,173
24,161
25,173
25,154
25,156
25,147
26,157
26,168
26,151
26,156
26,152
27,154
27,150
27,164
27,161
28,159
28,159
28,156
28,158
28,159
29,166
29,170
29,163
29,56
30,165
30,160
30,174
30,166
30,164
31,160
31,160
31,173
31,169
31,152
32,166
32,158
32,165
32,165
33,166
33,176
33,176
33,175
33,166
34,170
34,171
34,152
34,164
35,163
35,169
35,173
35,181
35,157
36,146
36,172
36,169
36,157
36,162
37,174
37,163
37,162
37,169
37,156
38,162
38,168
38,173
38,188
38,163
39,164
39,165
39,168
39,168
39,141
40,163
40,174
40,169
40,159
40,157
41,156
41,161
41,150
41,165
41,224
42,157
42,164
42,162
42,163
43,159
43,174
43,165
43,174
43,167
44,170
44,167
44,168
44,157
44,148
45,158
45,163
45,154
45,162
46,156
46,164
46,165
46,145
47,164
47,149
47,155
47,144
47,135
48,148
48,151
48,158
48,152
48,144
49,140
49,133
49,91
49,145
50,101
50,118
50,225
50,125
50,119
51,96
51,98
51,180
51,170
51,168
52,158
52,142
52,134
1,55
1,64
1,57
1,60
2,78
2,70
2,75
2,75
3,110
3,110
3,116
3,130
3,118
4,130
4,128
4,143
4,127
4,122
5,134
5,136
5,140
5,159
5,128
6,124
6,129
6,140
6,130
6,113
7,159
7,162
7,164
7,166
7,152
8,148
8,159
8,160
8,169
8,157
9,158
9,158
9,159
9,158
9,152
10,149
10,150
10,165
10,166
10,156
11,155
11,165
11,155
11,160
11,149
12,146
12,159
12,153
12,154
12,151
13,139
13,119
14,135
14,162
14,158
14,154
14,145
15,157
15,164
15,169
